ask,bid,due,emittent,ratio,strike,wkn,wkn_link,yr,yr2,yr4
2.12,2.1,20.12.2019,DZ Bank AG,1.0,10.5,DD507Q,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD507Q,12.620000000000001,14.74,18.98

1.44,1.42,18.12.2019,HypoVereinsbank/UniCredit,1.0,12.0,HW4HA4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HW4HA4,13.44,14.879999999999999,17.759999999999998

0.0,0.16,14.12.2020,UBS,0.1,12.0,UX3LHU,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UX3LHU,12.0,12.0,12.0

0.99,0.91,17.12.2018,CITI,1.0,11.75,CQ43P4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43P4,12.74,13.73,15.71

1.18,1.17,21.06.2019,DZ Bank AG,1.0,12.0,DD1QTD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD1QTD,13.18,14.36,16.72

0.098,0.088,17.12.2018,CITI,0.1,11.75,CQ43P3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CQ43P3,12.73,13.71,15.67

